id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,timestamp
bitcoin,91450.0,1822924843362,-2.33388,126080.0,67.81,93689.0,89426.0,11-12-2025 21-42-47
ethereum,3213.71,387489344696,-5.41974,4946.05,0.432979,3397.87,3160.13,11-12-2025 21-42-47
tether,1.0,186096541212,-0.00589,1.32,0.572521,1.0,1.0,11-12-2025 21-42-47
ripple,2.02,121802561880,-3.34919,3.65,0.00268621,2.09,1.99,11-12-2025 21-42-47
binancecoin,879.32,121022822547,-3.13507,1369.99,0.0398177,907.78,861.83,11-12-2025 21-42-47
usd-coin,0.999942,78281871045,-0.00642,1.17,0.877647,1.0,0.998645,11-12-2025 21-42-47
solana,134.98,75701584026,-4.00242,293.31,0.500801,140.67,129.42,11-12-2025 21-42-47
staked-ether,3211.16,28003523651,-5.55311,4932.89,482.9,3399.97,3154.24,11-12-2025 21-42-47
tron,0.280597,26568609144,0.32984,0.431288,0.00180434,0.281577,0.278179,11-12-2025 21-42-47
dogecoin,0.139483,21207367620,-6.04357,0.731578,8.69e-05,0.148516,0.136566,11-12-2025 21-42-47
cardano,0.419977,15379086431,-10.30976,3.09,0.01925275,0.468457,0.411054,11-12-2025 21-42-47
figure-heloc,1.01,14296136101,-1.01852,1.37,0.155357,1.035,1.01,11-12-2025 21-42-47
whitebit,61.29,13123735386,-4.22067,64.11,3.06,64.1,60.62,11-12-2025 21-42-47
wrapped-steth,3923.45,12247877474,-5.53279,7256.02,558.54,4153.24,3856.29,11-12-2025 21-42-47
wrapped-bitcoin,91206.0,11398880012,-2.50521,125932.0,3139.17,93550.0,89217.0,11-12-2025 21-42-47
wrapped-beacon-eth,3485.77,11365584413,-5.49105,5330.78,1501.6,3689.45,3427.04,11-12-2025 21-42-47
bitcoin-cash,566.52,11310099392,-2.0573,3785.82,76.93,579.11,552.6,11-12-2025 21-42-47
usds,0.999712,9740989740,0.06377,1.057,0.948265,1.0,0.998765,11-12-2025 21-42-47
chainlink,13.82,9616827934,-5.961,52.7,0.148183,14.7,13.44,11-12-2025 21-42-47
wrapped-eeth,3477.7,9420961442,-5.5297,5296.78,1505.24,3681.27,3421.69,11-12-2025 21-42-47
binance-bridged-usdt-bnb-smart-chain,0.999973,8985109334,-0.06149,1.05,0.942186,1.001,0.99849,11-12-2025 21-42-47
leo-token,9.5,8765080407,0.04954,10.14,0.799859,9.54,9.4,11-12-2025 21-42-47
weth,3209.71,8295137985,-5.6303,4950.08,82.1,3401.2,3159.81,11-12-2025 21-42-47
stellar,0.241939,7821950664,-5.98169,0.875563,0.00047612,0.257332,0.239613,11-12-2025 21-42-47
hyperliquid,28.55,7705736529,-4.03342,59.3,3.81,29.76,26.99,11-12-2025 21-42-47
monero,414.67,7651162467,3.35466,542.33,0.216177,414.55,395.67,11-12-2025 21-42-47
zcash,461.75,7590367438,12.48022,3191.93,16.08,464.25,391.86,11-12-2025 21-42-47
coinbase-wrapped-btc,91369.0,6640487913,-2.61132,125954.0,57439.0,93819.0,89539.0,11-12-2025 21-42-47
ethena-usde,0.999393,6555710205,-0.00491,1.034,0.929486,1.001,0.997945,11-12-2025 21-42-47
litecoin,82.16,6290554791,-4.81243,410.26,1.15,86.34,80.54,11-12-2025 21-42-47
sui,1.57,5868990077,-6.75709,5.35,0.364846,1.69,1.53,11-12-2025 21-42-47
avalanche-2,13.3,5703167028,-9.00793,144.96,2.8,14.62,12.92,11-12-2025 21-42-47
hedera-hashgraph,0.129371,5486682456,-7.95536,0.569229,0.00986111,0.140552,0.12872,11-12-2025 21-42-47
shiba-inu,8.43e-06,4959552347,-4.72792,8.616e-05,5.6366e-11,8.85e-06,8.21e-06,11-12-2025 21-42-47
usdt0,1.0,4668616707,0.02206,1.052,0.975737,1.001,0.999076,11-12-2025 21-42-47
susds,1.084,4457661003,1.76582,1.11,0.961716,1.092,1.065,11-12-2025 21-42-47
dai,1.0,4326183196,0.06351,1.22,0.88196,1.002,0.998699,11-12-2025 21-42-47
